Index,EAN,Internal ID,Stock,Price
1,9600891748145,77,855,691
2,5586274153956,43,322,183
3,5168128157978,3,222,809
4,7969318099829,22,412,233
5,2567527360980,54,201,853
6,2427956203312,21,160,785
7,7801115162910,42,930,594
8,6254659969261,88,273,452
9,6888440099716,38,568,950
10,2362667930624,55,205,955
11,5115383557876,77,501,940
12,0789036576191,34,336,901
13,8630895030367,35,544,937
14,6760477555093,31,357,455
15,3467731788794,48,746,176
16,3507461441238,70,773,544
17,5088483878007,79,656,950
18,9682342506214,62,956,461
19,0962568840491,98,528,436
20,5002894702478,7,766,648
21,8905093615044,63,287,793
22,5409359147704,22,397,721
23,7996640844094,80,811,21
24,1486153141354,20,493,193
25,4688480080529,50,423,72
26,9471188281542,81,742,841
27,8312834797554,43,108,231
28,8762234018481,12,493,922
29,8796036482799,90,794,604
30,9507508875587,85,209,173
31,8839704654477,10,49,525
32,1750894242213,81,992,11
33,3555503737801,12,531,309
34,9186168970612,81,230,757
35,0771959098324,43,206,153
36,3056887611898,86,119,142
37,9546002888020,14,392,614
38,8098322515052,68,714,347
39,4953346747435,40,241,90
40,0116292335314,29,760,110
41,5126942096385,90,190,613
42,9037039514209,63,402,997
43,3962545422976,60,677,753
44,0107472120790,1,360,919
45,0843407162441,86,287,4
46,5032793618303,43,369,941
47,5636638298363,55,656,281
48,6357239441727,97,436,210
49,7515957157415,21,553,868
50,4133533263799,76,116,418
51,3824428340503,17,909,608
52,3547407664840,17,124,929
53,6709560771699,92,34,453
54,7035320188056,77,883,882
55,7974417932663,78,503,837
56,8830752660403,67,848,509
57,5962299380902,2,853,390
58,0920712076936,69,699,775
59,5036349455404,11,3,322
60,6289842627055,30,165,648
61,7690490834150,59,854,46
62,0521306243965,22,767,289
63,4680081061525,63,198,90
64,3905427274744,69,357,385
65,3969490098065,67,900,206
66,4779602070242,89,521,585
67,8655599465352,57,222,717
68,6504400920172,37,563,963
69,7285761546735,81,344,465
70,2534347517337,52,268,618
71,6073243746169,39,881,895
72,4540865204060,72,9,141
73,0174544176443,46,464,513
74,4201954002645,44,176,569
75,3312176351075,63,942,164
76,2847914555831,47,607,999
77,1464002195734,89,956,737
78,9425672558528,48,629,858
79,9766626655659,63,719,667
80,1109064181614,80,655,836
81,8927743393003,48,324,736
82,3187711550981,89,705,224
83,3484698798079,8,633,273
84,3225438688201,97,637,753
85,7166791642843,61,384,483
86,4066725491154,19,329,942
87,2328150154014,1,602,891
88,6690233864032,23,248,845
89,5348203605543,9,163,237
90,9723770892859,11,808,499
91,9597269831588,63,246,778
92,0008077656397,36,807,266
93,9476321002367,57,817,474
94,2759204664515,98,648,932
95,8450319580786,4,75,276
96,0322511975425,91,433,848
97,3153771427204,73,110,165
98,9739596274922,38,663,111
99,1775574917571,82,321,246
100,4329070225684,68,510,709
101,7800827311067,61,471,265
102,5654536422253,42,722,532
103,3244629521622,98,876,412
104,7074328509432,91,918,658
105,2688039248747,20,911,15
106,3392211468524,71,624,495
107,5457945854451,54,527,491
108,9564740864854,32,303,435
109,6696860449529,79,306,182
110,3299239993888,44,678,666
111,5771748431061,63,768,938
112,1316199383862,4,139,791
113,4643149542596,55,941,874
114,3998356800955,96,811,45
115,1478188148606,91,398,795
116,2722687881779,41,491,667
117,6876419850390,33,348,933
118,1007944374173,95,369,526
119,8221557512415,90,298,801
120,8289913002895,25,807,681
121,2057285961869,53,289,457
122,7680131980612,42,175,406
123,5108269323221,92,425,481
124,4304784270465,14,901,371
125,0526698911553,38,648,282
126,6923723256643,12,792,335
127,6955284876206,45,995,336
128,3710034709554,89,507,78
129,5810041678084,63,27,939
130,7537078229642,95,287,949
131,5313353798131,74,481,755
132,1278619877644,89,561,136
133,8148420622746,69,29,66
134,8554671557209,78,668,361
135,3079588625520,28,34,542
136,0598718108403,61,111,487
137,4214851205750,63,419,166
138,7780523480581,56,487,166
139,5363089727271,91,686,835
140,1168820270337,78,445,460
141,8258011503450,81,183,764
142,1190139989907,61,362,274
143,0299733639117,86,318,518
144,1958826738739,72,162,24
145,9782236207750,94,862,279
146,1430909112587,75,602,111
147,4142471770481,44,681,38
148,6539657293731,17,530,793
149,3805421819548,85,532,684
150,3652019127017,89,904,85
151,3980050003886,41,961,826
152,5393102095957,30,62,677
153,7488358650017,97,665,784
154,6100770355547,67,434,330
155,0519890693518,95,659,723
156,3778958407826,68,316,300
157,3980541168209,38,817,658
158,4189515056309,77,113,348
159,6781594058151,52,379,711
160,0669964290362,88,831,787
161,8292435340758,80,343,604
162,4600116467108,51,187,649
163,3328724846788,26,996,648
164,5884179751414,66,521,465
165,7807228975829,46,461,274
166,8185548587861,74,863,298
167,0688470432905,15,669,76
168,2847348728092,18,888,638
169,8765982760169,57,800,628
170,0842462852649,98,873,618
171,8349764463884,12,530,900
172,4837092088298,77,849,257
173,3919724338191,87,81,304
174,6941570532062,94,987,802
175,6277441828263,51,294,456
176,6901685938531,32,682,945
177,3480818662749,61,206,638
178,2632680059771,15,191,379
179,9748450703409,63,398,60
180,4287214838285,83,926,164
181,2841200556946,60,733,813
182,5903111536602,15,351,891
183,8392076464827,54,469,871
184,5589408695742,68,570,564
185,7288915505312,20,113,858
186,9431901161827,99,492,963
187,7779824627573,69,288,506
188,3875730123605,9,846,442
189,2765220425085,12,543,414
190,9049519285974,41,684,463
191,5878678492756,32,529,802
192,6837130875192,89,577,156
193,7527449186469,59,996,745
194,6863118549656,59,196,68
195,4398324918047,74,831,830
196,9252019510051,69,619,666
197,3323132140008,53,382,418
198,9171526699618,29,803,70
199,9197734420097,40,661,907
200,6749332527635,61,168,178
201,0291431330686,99,972,775
202,5843555821820,90,837,7
203,5974271727179,48,58,655
204,9545327693517,87,626,10
205,1445634056891,58,366,577
206,2021927585218,88,401,645
207,5882341936041,16,220,227
208,0737625911267,45,448,252
209,9026579089070,23,404,656
210,6953069857198,84,287,618
211,0683582313777,27,591,964
212,5189115587349,23,957,88
213,1405799466393,70,701,171
214,2673582353512,35,745,864
215,2889622624720,87,307,303
216,4934056868009,70,579,27
217,4205416498762,85,375,953
218,7644480501782,59,404,936
219,0455244648295,27,219,574
220,8095921794994,15,70,674
221,6924230862891,25,175,335
222,2826582626470,1,404,635
223,4507837208594,65,428,998
224,3713624251464,98,378,370
225,7253166675664,41,923,328
226,0501389119333,32,252,240
227,0562061348458,77,524,97
228,4598453852452,99,33,115
229,9487505124706,40,808,859
230,1264771822936,14,890,395
231,9733670829299,32,13,417
232,5940453484086,83,236,997
233,4084759801206,21,445,854
234,2707887434598,9,428,96
235,3070097107507,66,590,636
236,2217502592072,97,381,510
237,3426802351190,13,681,541
238,2645417852293,89,298,404
239,8773976007480,85,211,847
240,2364617709670,61,964,906
241,9275240146387,37,513,56
242,8912420296708,16,276,567
243,4260257974882,41,742,677
244,1358019095425,55,646,778
245,5678725737942,92,769,420
246,3842273797556,52,491,111
247,2051283209251,34,231,620
248,4833989647531,49,57,704
249,9804598437252,34,479,900
250,8615019541387,69,51,547
251,4511740591292,31,129,694
252,7200211251069,49,379,828
253,6063964896571,9,765,27
254,1821037229955,15,281,898
255,1725800859656,19,423,328
256,6037674323368,19,620,608
257,1212342100723,53,227,369
258,8019979264445,70,314,863
259,5933555034181,29,883,147
260,1723482467565,21,227,883
261,5688560163844,27,941,217
262,9521218421209,97,785,895
263,5367140865124,88,500,936
264,0060223469909,53,923,976
265,1254748605488,58,439,445
266,4506362952668,98,847,578
267,9043133520305,29,866,923
268,8125514517324,74,663,635
269,8978572316237,12,762,386
270,4511406113080,10,223,110
271,5193484595201,80,23,278
272,4926925366723,10,668,457
273,6919328367495,81,456,471
274,0609731605326,20,618,769
275,6084973049383,35,562,132
276,5795179759211,7,258,653
277,3934744860941,15,804,197
278,1151947173544,46,664,763
279,7713538848374,39,845,340
280,9149817774870,56,951,526
281,4509973166271,10,779,879
282,8377110945500,62,4,31
283,9580960115460,30,526,687
284,0579344792105,47,835,319
285,8050843866433,36,946,821
286,6081766685179,23,645,4
287,8030524978457,74,623,945
288,8973309848913,40,627,832
289,2520488045105,12,779,634
290,5331399117778,73,633,120
291,0320210931384,29,488,975
292,4447165016099,37,981,13
293,3293108559533,67,336,990
294,9400783579310,15,97,129
295,3172072233895,1,450,109
296,7032591273153,13,673,26
297,6287764362054,13,508,957
298,7454301866668,42,800,389
299,7397521710307,22,298,575
300,2992776322777,5,840,620
301,1651311032564,41,645,690
302,0696120515359,45,465,183
303,5914463163675,22,315,947
304,9714564787703,85,645,546
305,7248769379675,57,283,386
306,0598756030346,49,515,140
307,3849387387840,70,588,384
308,1887671981864,16,975,852
309,2138989306252,11,125,734
310,9111332170604,25,472,143
311,0199305348075,49,666,806
312,9825199945199,66,335,67
313,7323884466834,92,778,897
314,4429994989454,3,254,58
315,9298337371677,62,995,6
316,3803808896823,84,482,129
317,1089229393185,77,248,150
318,7163508340078,14,577,254
319,9308081023583,68,234,916
320,4008075375425,97,649,42
321,7603975741072,30,257,396
322,7612699785668,50,359,353
323,1518266995132,77,715,732
324,9665398613822,17,858,644
325,2482652148626,59,638,841
326,7903106521567,85,4,610
327,8174935945780,73,718,433
328,6675905224079,85,701,276
329,5225054743238,11,252,332
330,4770719385083,12,523,754
331,4324966679756,87,645,623
332,5834150161329,88,364,489
333,3630411176536,8,924,589
334,2890002551857,4,424,758
335,1096978593230,22,919,448
336,5532100515474,74,733,544
337,4954807406991,46,357,673
338,2828431793401,31,63,105
339,1939347415552,24,875,958
340,7733612172690,81,829,364
341,7198960390330,3,822,94
342,2451956304632,48,57,651
343,5346108535606,38,571,571
344,0658897117716,90,122,139
345,9610484295437,95,271,348
346,0441374570803,95,346,363
347,3699827951793,2,384,776
348,7934127276457,15,775,64
349,1846418659770,94,428,633
350,1024742491024,26,159,763
351,4819536485504,31,637,727
352,2971691023105,3,937,63
353,9229068388252,21,345,524
354,8150798145635,83,951,7
355,7160837494038,44,469,269
356,5496045040388,56,92,931
357,0670449275231,60,960,303
358,9520304359891,54,24,730
359,9854758820448,30,57,290
360,8825864639348,47,135,641
361,7816166023677,12,835,946
362,9327555456160,68,924,731
363,9605401790669,81,818,586
364,9553289279434,39,452,334
365,5174693933213,59,63,375
366,7171039960252,65,874,710
367,8451196514482,27,940,66
368,5530888524275,43,787,54
369,9723459662957,19,753,526
370,3011405828158,12,813,137
371,8600610879533,53,520,690
372,1481493911001,96,404,195
373,4459210516577,19,810,926
374,5043924661310,37,478,145
375,6874178446977,60,948,821
376,1584156686770,49,707,892
377,8764505882647,48,623,254
378,2126110070134,33,889,801
379,1172879142576,8,6,125
380,4881348877884,95,32,81
381,1906243928639,88,254,75
382,3955850968734,57,83,351
383,0858928974824,75,209,317
384,3072274169032,21,617,474
385,2314087106295,8,702,130
386,4795560242880,4,479,820
387,4918894397525,44,63,690
388,6268097865252,47,249,419
389,2616953995027,89,684,343
390,2946038281128,58,280,213
391,9729365006656,82,384,884
392,6038997248932,37,635,605
393,9574043424433,39,934,576
394,2065961373684,63,357,49
395,9775280738103,69,123,777
396,7905157643878,25,158,497
397,8129259848224,21,647,100
398,7817591844400,80,982,51
399,7738615392489,48,224,56
400,0611389804983,3,595,780
401,0029549326358,83,677,153
402,3360170535625,89,207,233
403,7140458894707,23,50,319
404,7075533002312,10,151,32
405,5788116936400,91,535,161
406,9239459552902,99,794,133
407,1705293552111,96,326,197
408,7105845173926,8,100,353
409,3913936267447,82,342,302
410,1670379875791,97,961,46
411,9045643095427,19,333,898
412,6260076779802,9,231,473
413,5553849207499,76,953,590
414,8048993606160,95,327,104
415,9929766244200,43,528,907
416,3493014205542,1,205,685
417,8852666830376,32,68,657
418,8083226174436,51,716,853
419,2314153491676,7,210,243
420,9409329795351,22,663,629
421,6415713673641,70,249,694
422,7959815817910,84,613,316
423,7967544275109,34,424,129
424,6465603857781,44,347,321
425,1679004057281,36,192,657
426,7062508732381,81,11,11
427,3778857177493,49,710,277
428,1902590256142,34,59,206
429,2448408805151,96,417,980
430,4080074491337,80,614,809
431,7980395819001,2,385,838
432,5916562853457,32,31,819
433,6892085912378,9,117,638
434,2872414968751,24,997,496
435,3069936121446,64,328,271
436,0618310447240,98,768,464
437,0601518571480,60,135,273
438,1528166326585,67,585,275
439,6753131724928,5,149,321
440,0922052651422,38,698,444
441,0876472238155,79,182,155
442,0192343267889,86,680,958
443,7154132933422,38,34,538
444,0204756238605,1,11,771
445,8912197485534,15,220,958
446,0347673004899,36,688,762
447,5816073902845,17,81,509
448,3746318939065,41,702,247
449,2525902427055,60,351,824
450,9661278329210,20,714,682
451,6949803800964,42,410,566
452,0012978955879,41,279,603
453,6327061248467,8,939,384
454,1639159387602,42,361,24
455,5190658547462,74,899,498
456,0634035220012,35,146,803
457,2327257011909,18,984,378
458,4334752405490,32,685,183
459,6779694655882,51,187,55
460,0016833390201,86,457,405
461,0340818112923,70,129,62
462,3524995197158,55,134,18
463,4233891155788,66,124,2
464,3791880164124,79,994,858
465,6420142129225,78,546,274
466,5276091940005,59,258,687
467,9581350475775,37,913,32
468,2748193992983,70,308,89
469,5116822194478,7,670,839
470,1785180968270,82,609,256
471,4613085828382,74,493,631
472,5528494231168,89,786,145
473,3406689529233,43,198,657
474,1023767716051,24,405,734
475,9520834550645,67,561,241
476,6612711308906,44,63,337
477,9865576907181,97,805,989
478,2395061910220,34,402,43
479,5010163871374,75,22,759
480,9156757373773,41,297,37
481,5254190852351,79,118,159
482,6355373805443,27,25,130
483,4170298729221,52,667,814
484,0276624907401,29,717,611
485,4640474139064,55,288,78
486,9810040341886,50,95,541
487,6234788813253,37,590,400
488,5546972751441,81,348,661
489,9150077848645,50,514,831
