Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,BbFE27f1CEBB7ee,"Stanton, Valenzuela and Koch",http://shannon.info/,Singapore,User-centric heuristic leverage,2000,Accounting,6530
2,D0cD4389BFFB648,"Conner, Vazquez and Marks",https://www.leblanc-ramirez.net/,Nepal,Enhanced multi-state functionalities,1979,Investment Management / Hedge Fund / Private Equity,2301
3,30F70B502BA8D41,Vaughan-Cochran,https://www.cantrell.org/,Belize,Configurable needs-based intranet,2012,Luxury Goods / Jewelry,4682
4,f4B0d12Ddf66BAf,Soto-Levine,http://www.mason.com/,South Georgia and the South Sandwich Islands,Total bottom-line flexibility,1989,Mental Health Care,9578
5,00D7Cd2fa356073,Landry Ltd,http://atkins.com/,Samoa,Vision-oriented 5thgeneration focus group,1997,International Affairs,6655
6,A1b935984a79753,Oneill Inc,http://www.haley.info/,Nepal,Configurable clear-thinking complexity,2023,Media Production,5501
7,CC23f0Bf22EeDdd,Moran PLC,http://www.holden.biz/,United Kingdom,Switchable multimedia archive,1977,Semiconductors,9923
8,37F4cEB238836Ae,Klein and Sons,https://www.spencer.biz/,Moldova,Ergonomic asynchronous frame,1975,Music,9652
9,D6F8D33d960FCE2,"Davies, Flynn and Barrett",http://www.hatfield.com/,Yemen,Public-key grid-enabled Graphical User Interface,2022,Mining / Metals,3092
10,F92DcAAEA785959,Bentley and Sons,http://orr-perry.net/,Guyana,Devolved foreground contingency,2009,Hospitality,8253
11,6aF07EBfaEFe6Ba,Alexander Group,https://www.malone-ingram.info/,Monaco,Adaptive motivating budgetary management,1995,Computer Networking,9924
12,C5E5EcAB09924B9,Bauer-Clarke,https://beck.com/,Martinique,Triple-buffered heuristic contingency,2004,Capital Markets / Hedge Fund / Private Equity,7632
13,D5C2BDDb6AeCF61,"Cole, Fox and Vazquez",http://underwood.com/,Saint Barthelemy,Synchronized intangible flexibility,2008,Architecture / Planning,5420
14,e995bd858bBee5c,Hunter-Herman,http://www.jones.biz/,Uganda,De-engineered executive adapter,1993,Mining / Metals,2761
15,4c7Cf58E9dbAcfE,Webster and Sons,http://www.clarke.org/,South Africa,Cloned coherent leverage,1992,Law Enforcement,2323
16,FA5b4AA3ccdDFaD,Hood-King,https://www.vega.com/,United States of America,Re-engineered interactive open architecture,1998,Ranching,9578
17,0Ce755cCAFD1f7f,Galloway-David,http://webb-schneider.net/,Liberia,Adaptive bifurcated initiative,1974,Program Development,9573
18,C671beafE6dE162,Page-Ali,http://sellers.info/,Switzerland,Customizable content-based flexibility,1992,Public Relations / PR,6062
19,568Fc2Afb64be8B,Patel-Cervantes,http://www.graves-phelps.com/,Kazakhstan,Programmable radical structure,1980,Logistics / Procurement,3113
20,caBbE42EdB0C37F,Allen-Hughes,https://mcclain.com/,Turks and Caicos Islands,Vision-oriented 4thgeneration intranet,1976,Sporting Goods,327
21,E9821aE19f1d232,"Reynolds, Schultz and Pham",http://wood.com/,Korea,Cross-platform discrete productivity,2013,Insurance,527
22,c987213Cab5091B,Leblanc-Randolph,https://avery.biz/,Latvia,Face-to-face fresh-thinking hub,1991,Military Industry,2413
23,bdA1Bc5fe6fCC36,Wallace and Sons,https://maddox.info/,Fiji,Secured fresh-thinking neural-net,2019,Restaurants,2664
24,c1CCbFCf0eEaD8F,Manning LLC,http://www.montes.biz/,Turkey,Self-enabling web-enabled framework,2018,Graphic Design / Web Design,6420
25,2083cd6Eaeb1Ab2,"Gill, Humphrey and Gregory",https://www.burgess.com/,Kuwait,Intuitive analyzing approach,2011,Management Consulting,24
26,1Bdd4f571344d0D,"Booker, Morrow and Huber",http://pierce.net/,Poland,Mandatory needs-based hub,1984,Public Relations / PR,2093
27,A55BcB85b5FdD17,Weiss PLC,https://alvarado.com/,Singapore,Reduced tertiary pricing structure,1994,Medical Equipment,407
28,3dbbE4D46fCbA9B,"Savage, Carson and Palmer",http://blackburn.com/,Cape Verde,Virtual client-server parallelism,1997,Renewables / Environment,532
29,6B7BCb1a5AdA0ad,Spears-Mcbride,http://www.mccormick-pace.info/,Hong Kong,Proactive directional challenge,2006,Insurance,4248
30,290A658DeC5ADBd,"Wheeler, Huber and Peck",http://cummings.com/,Azerbaijan,Innovative fault-tolerant hardware,2006,Package / Freight Delivery,6737
31,f36EDeeE1b53260,Irwin Ltd,https://www.hernandez.com/,Mayotte,Expanded mission-critical array,1987,Machinery,3140
32,b17bbd6a01e5A91,Morse-Rios,https://yu-garrett.com/,Marshall Islands,Focused zero tolerance groupware,1975,Maritime,6583
33,56FCDDe7CADBdE6,"Cruz, Howe and Hensley",https://www.townsend.org/,Paraguay,Digitized bifurcated concept,1983,Tobacco,9728
34,baE5f1B681E1bbC,Stark-Shelton,https://www.whitaker-bird.biz/,Austria,Expanded stable function,2005,Broadcast Media,6034
